20230802	15:14:49 	30fb4d6e-870c-4eca-bd5b-5d5f975e7377	/new-page	GET
20230802	15:14:49 	cf8299db-3240-4f53-a3c1-f9c29ed71f9c	/css/style.css	GET
20230802	15:14:49 	064509f0-fb38-4fed-a2ea-fa00e83c2ae0	/img/img1.jpg	GET
20230802	15:14:50 	dfc510c5-7f44-4d93-bd0a-e27dd7fce40d	/favicon.ico	GET
20230802	15:17:59 	4a21c44a-b90c-427b-a21e-efd8d363c99a	/new-page	GET
20230802	15:19:51 	a1677851-22c0-4f85-953f-d8e9d5e32ef2	/new-page	GET
20230802	15:19:51 	42c26c76-9927-4d72-9507-b050980b01b3	/css/style.css	GET
20230802	15:19:51 	bf1df0c1-4971-4a74-987b-60a7597f1d0b	/img/img1.jpg	GET
20230810	20:35:26 	39348019-a683-4291-9e8a-d9e355095b67	POST	undefined	/auth
20230810	20:39:28 	13b175c3-06ab-45f4-8ab4-900995b5b3f7	POST	undefined	/auth
20230810	21:38:52 	3e23bcfb-70a5-4f3e-ae8a-cb33e659fd77	POST	undefined	/auth
20230810	21:52:15 	f3d48a00-6183-440c-9661-48bc1a7a4072	POST	undefined	/auth
20230810	22:10:57 	7873a9e2-3afd-4ea7-add6-c0b6635b4003	POST	undefined	/register
20230810	22:11:34 	833b3530-6559-4a8b-92c9-70ae62a0b9fe	POST	undefined	/auth
20230810	23:34:57 	0ac78eed-c83c-4f7f-8dcc-e3782e339d71	POST	undefined	/register
20230810	23:35:13 	d8abb592-239b-4746-8403-2251896e836d	POST	undefined	/auth
20230810	23:36:01 	44c99c37-123e-4390-b7fa-88b914adf870	POST	undefined	/refresh
20230811	02:48:41 	a75f2b98-d5cd-4edd-b407-be3b9bdf6eb0	POST	undefined	/auth
20230811	02:49:24 	1a2752b5-5ccb-42ad-9891-58c156085361	GET	undefined	/employee
20230811	02:51:23 	831b2a23-77f3-48ed-a19e-2d8f53fcf5e1	POST	undefined	/auth
20230811	02:51:47 	c4584d62-3e17-48d5-a100-02bb463af4ca	GET	undefined	/employee
20230811	02:54:31 	0bfbe29d-b2b8-4d94-9b5f-cb2faca6c413	POST	undefined	/auth
20230811	02:54:59 	6189d6c8-13ad-4433-a503-71744730c2c4	POST	undefined	/employee
20230811	03:36:26 	9caed233-c609-471d-ae19-de4d90cb0d01	POST	undefined	/auth
20230811	03:36:57 	82ff29d5-6949-40db-9818-4b28cab51190	GET	undefined	/employee
20230811	03:37:34 	b8edffac-ce5d-4195-9d06-68c7aaaf99c6	GET	undefined	/employee
20230811	03:39:00 	6b3cd5df-1d9c-4fec-8f31-cd5e25c7dc70	GET	undefined	/employee
20230811	03:44:18 	c7a71baa-76cb-4b4d-80d2-00943ac7dd1a	POST	undefined	/auth
20230811	03:44:46 	f50059c9-660b-48da-98a7-d29bd6def630	GET	undefined	/employee
20230811	03:44:52 	f8021a68-c362-4d6f-9e51-38cf98ab02f5	POST	undefined	/employee
